 1104	116146	seek~
 1105	116151	seem1
 1106	116152	self2
 1107	116153	sell3
 1108	116154	send4
 1109	116155	sent5
 1110	116156	set6
 1111	116161	sew7
 1112	116162	sewn8
 1113	116163	sham9
 1114	116164	shed0
 1115	116165	shin.
 1116	116166	ship-
 1117	116211	shoe+
 1118	116212	shop:
 1119	116213	show?
 1120	116214	shun!
 1121	116215	shut@
 1122	116216	shy#
 1123	116221	side$
 1124	116222	sift%
 1125	116223	sigh&
 1126	116224	sign*
 1127	116225	silk~
 1128	116226	silo1
 1129	116231	silt2
 1130	116232	sim3
 1131	116233	sing4
 1132	116234	sink5
 1133	116235	sip6
 1134	116236	sit7
 1135	116241	six8
 1136	116242	size9
 1137	116243	ski0
 1138	116244	skid.
 1139	116245	skin-
 1140	116246	skip+
 1141	116251	sky:
 1142	116252	slab?
 1143	116253	slag!
 1144	116254	slam@
 1145	116255	slaw#
 1146	116256	sled$
 1147	116261	slim%
 1148	116262	slip&
 1149	116263	slit*
 1150	116264	slop~
 1151	116265	slot1
 1152	116266	slow2
 1153	116311	slug3
 1154	116312	slum4
 1155	116313	sly5
 1156	116314	smog6
 1157	116315	smug7
 1158	116316	snag8
 1159	116321	snap9
 1160	116322	snow0
 1161	116323	snub.
 1162	116324	snug-
 1163	116325	soak+
 1164	116326	soap:
 1165	116331	soar?
 1166	116332	sock!
 1167	116333	sod@
 1168	116334	soda#
 1169	116335	sofa$
 1170	116336	soft%
 1171	116341	soil&
 1172	116342	sold*
 1173	116343	sole~
 1174	116344	solo1
 1175	116345	some2
 1176	116346	song3
 1177	116351	soon4
 1178	116352	sora5
 1179	116353	sort6
 1180	116354	soul7
 1181	116355	soup8
 1182	116356	sour9
 1183	116361	sow0
 1184	116362	soy.
 1185	116363	spa-
 1186	116364	spam+
 1187	116365	span:
 1188	116366	spew?
 1189	116411	spin!
 1190	116412	spit@
 1191	116413	spot#
 1192	116414	spry$
 1193	116415	spud%
 1194	116416	spun&
 1195	116421	spur*
 1196	116422	spy~
 1197	116423	star1
 1198	116424	stat2
 1199	116425	stay3
 1200	116426	stem4
 1201	116431	step5
 1202	116432	stew6
 1203	116433	stir7
 1204	116434	stop8
 1205	116435	stun9
 1206	116436	sub0
 1207	116441	such.
 1208	116442	suit-
 1209	116443	sulk+
 1210	116444	sum:
 1211	116445	sun?
 1212	116446	sung!
 1213	116451	sunk@
 1214	116452	sure#
 1215	116453	surf$
 1216	116454	suv%
 1217	116455	swab&
 1218	116456	swam*
 1219	116461	swan~
 1220	116462	swap1
 1221	116463	swat2
 1222	116464	sway3
 1223	116465	swim4
 1224	116466	sync5
 1225	116511	tab6
 1226	116512	tack7
 1227	116513	taco8
 1228	116514	tag9
 1229	116515	tail0
 1230	116516	take.
 1231	116521	tale-
 1232	116522	talk+
 1233	116523	tall:
 1234	116524	tame?
 1235	116525	tan!
 1236	116526	tang@
 1237	116531	tank#
 1238	116532	tap$
 1239	116533	tape%
 1240	116534	tar&
 1241	116535	tarp*
 1242	116536	tart~
 1243	116541	task1
 1244	116542	tat2
 1245	116543	tax3
 1246	116544	taxi4
 1247	116545	tea5
 1248	116546	teal6
 1249	116551	team7
 1250	116552	tear8
 1251	116553	tech9
 1252	116554	tee0
 1253	116555	tell.
 1254	116556	temp-
 1255	116561	tend+
 1256	116562	tent:
 1257	116563	term?
 1258	116564	test!
 1259	116565	text@
 1260	116566	that#
 1261	116611	thaw$
 1262	116612	thee%
 1263	116613	them&
 1264	116614	then*
 1265	116615	they~
 1266	116616	thin1
 1267	116621	thud2
 1268	116622	tide3
 1269	116623	tidy4
 1270	116624	tie5
 1271	116625	tied6
 1272	116626	tile7
 1273	116631	till8
 1274	116632	tilt9
 1275	116633	time0
 1276	116634	tin.
 1277	116635	tint-
 1278	116636	tiny+
 1279	116641	tip:
 1280	116642	tire?
 1281	116643	toad!
 1282	116644	toe@
 1283	116645	tofu#
 1284	116646	toil$
 1285	116651	told%
 1286	116652	toll&
 1287	116653	tomb*
 1288	116654	ton~
 1289	116655	tone1
 1290	116656	took2
 1291	116661	tool3
 1292	116662	top4
 1293	116663	tore5
 1294	116664	torn6
 1295	116665	tour7
 1296	116666	tow8
 1297	121111	town9
 1298	121112	toy0
 1299	121113	tram.
 1300	121114	trap-
 1301	121115	tray+
 1302	121116	tree:
 1303	121121	trek?
 1304	121122	trim!
 1305	121123	trio@
 1306	121124	trip#
 1307	121125	trot$
 1308	121126	true%
 1309	121131	try&
 1310	121132	tub*
 1311	121133	tuba~
 1312	121134	tube1
 1313	121135	tuck2
 1314	121136	tuft3
 1315	121141	tug4
 1316	121142	tuna5
 1317	121143	tune6
 1318	121144	turf7
 1319	121145	turn8
 1320	121146	tusk9
 1321	121151	tutu0
 1322	121152	tux.
 1323	121153	twig-
 1324	121154	twin+
 1325	121155	type:
 1326	121156	ufo?
 1327	121161	undo!
 1328	121162	unit@
 1329	121163	upon#
 1330	121164	use$
 1331	121165	used%
 1332	121166	user&
 1333	121211	utah*
 1334	121212	vain~
 1335	121213	van1
 1336	121214	vary2
 1337	121215	vase3
 1338	121216	vast4
 1339	121221	veer5
 1340	121222	vega6
 1341	121223	veil7
 1342	121224	vent8
 1343	121225	very9
 1344	121226	vest0
 1345	121231	vet.
 1346	121232	veto-
 1347	121233	via+
 1348	121234	vial:
 1349	121235	vibe?
 1350	121236	vice!
 1351	121241	view@
 1352	121242	vile#
 1353	121243	vine$
 1354	121244	vip%
 1355	121245	visa&
 1356	121246	void*
 1357	121251	vote~
 1358	121252	vow1
 1359	121253	waco2
 1360	121254	wad3
 1361	121255	wage4
 1362	121256	wait5
 1363	121261	wake6
 1364	121262	walk7
 1365	121263	wall8
 1366	121264	wan9
 1367	121265	wand0
 1368	121266	want.
 1369	121311	ward-
 1370	121312	warm+
 1371	121313	warn:
